crop,state,rainfall_mm,temperature_c,soil_moisture_pct,soil_ph,fertilizer_kg_ha,farm_size_ha,yield_tons_ha
cotton,MP,962.6,38.6,59.1,7.48,123.4,5.54,3.873
groundnut,Telangana,958.8,30.4,38.5,6.57,111.7,7.05,3.979
rice,Telangana,985.8,26.8,61.4,5.99,142.4,13.59,8.866
groundnut,MP,1170.8,26.3,84.8,5.52,69.7,3.11,3.815
maize,Punjab,1104.5,24.2,67.8,6.83,148.3,10.28,11.221
groundnut,Karnataka,524.4,30.3,74.0,5.93,108.5,7.13,3.615
cotton,Karnataka,976.3,33.2,46.8,7.11,119.7,13.94,4.188
rice,Punjab,1289.3,30.5,57.5,6.65,196.1,2.13,11.291
maize,AP,655.8,33.2,32.0,6.32,161.2,7.72,7.802
groundnut,AP,509.2,27.2,33.5,6.48,61.5,3.71,3.291
cotton,AP,1134.5,27.2,84.9,6.8,152.4,14.81,5.551
soybean,Telangana,903.2,27.0,42.3,6.47,86.1,3.23,4.786
maize,AP,512.1,27.8,62.4,6.53,216.3,7.33,10.686
cotton,Telangana,1435.1,37.4,44.4,6.65,99.0,7.81,4.533
groundnut,Maharashtra,1006.5,35.5,53.5,5.93,99.8,13.39,3.804
soybean,Telangana,628.5,23.1,67.6,7.35,137.7,10.66,4.308
maize,Punjab,1123.4,30.0,53.4,6.06,185.7,2.72,11.349
wheat,Punjab,708.7,24.7,34.9,6.59,88.0,9.07,5.601
groundnut,AP,1013.9,25.4,56.4,6.43,105.6,14.01,4.287
cotton,AP,1273.1,28.0,49.9,7.55,146.6,3.59,4.487
groundnut,MP,970.0,31.8,74.2,6.85,69.9,11.98,3.577
tomato,Karnataka,718.8,20.0,60.6,5.88,189.5,6.47,48.182
wheat,MP,1086.3,14.6,55.9,6.99,136.6,7.69,7.9
cotton,Karnataka,702.2,30.1,64.5,7.93,120.7,5.67,2.635
wheat,Karnataka,1011.5,17.4,60.4,6.51,94.7,11.42,7.499
maize,MP,718.8,27.8,63.3,5.99,186.7,1.76,10.355
rice,Punjab,903.7,31.9,43.0,5.97,146.0,9.6,8.145
groundnut,MP,595.7,30.4,76.3,6.08,92.1,8.96,3.469
groundnut,MP,1046.0,33.7,73.9,5.96,77.5,11.86,3.616
rice,Punjab,1158.7,29.3,36.9,5.51,108.3,3.19,7.488
tomato,AP,1136.1,23.6,56.5,5.54,253.5,2.3,58.755
soybean,Karnataka,658.0,26.9,74.9,6.93,115.4,12.98,4.469
cotton,Punjab,1184.2,30.3,66.9,7.83,90.7,0.56,3.963
cotton,AP,701.3,26.4,41.8,6.67,109.9,8.98,3.657
groundnut,Punjab,982.8,34.4,35.5,6.55,78.7,4.45,3.393
wheat,Maharashtra,1184.4,17.4,47.7,6.01,94.0,8.89,7.091
cotton,Punjab,1279.9,34.1,64.6,7.25,131.0,8.53,4.514
wheat,AP,985.8,21.7,34.6,7.31,101.6,7.5,6.329
rice,Karnataka,1485.0,28.9,75.5,5.56,161.5,2.78,10.666
rice,AP,1512.3,24.1,51.7,5.69,198.0,3.8,10.895
wheat,MP,1037.6,10.9,71.6,7.03,116.6,14.48,7.145
rice,Maharashtra,1177.3,32.5,75.4,5.9,121.5,14.81,8.913
groundnut,Karnataka,619.1,34.9,31.5,6.66,112.5,8.65,3.229
wheat,AP,1082.5,14.0,30.6,6.78,125.1,8.57,7.166
soybean,MP,983.0,26.6,51.7,7.02,122.5,4.35,5.026
rice,Telangana,1632.6,30.4,44.4,6.53,137.3,11.52,10.887
soybean,Punjab,1226.9,24.5,62.3,7.41,137.3,4.16,5.298
cotton,Karnataka,1102.9,34.4,73.5,6.19,156.1,5.92,5.015
wheat,Punjab,979.9,16.5,46.6,6.95,114.1,8.88,6.809
cotton,Karnataka,1121.6,29.3,32.9,6.73,86.7,4.18,3.627
cotton,Punjab,1036.5,29.6,61.0,7.04,110.6,2.16,4.366
soybean,Karnataka,637.3,23.4,31.2,6.37,119.2,8.05,4.332
groundnut,Karnataka,943.9,37.8,53.4,5.71,85.8,6.55,2.898
rice,Maharashtra,1387.8,28.7,81.0,6.15,199.2,4.96,12.907
soybean,MP,866.1,27.0,70.8,7.42,136.8,11.19,4.616
soybean,MP,828.1,26.1,78.8,6.05,89.2,11.4,4.747
soybean,AP,1305.8,29.2,48.6,7.08,94.3,7.31,4.173
wheat,Maharashtra,1004.0,14.9,83.9,6.21,119.9,3.78,7.802
wheat,Karnataka,790.3,20.5,45.9,6.77,167.2,1.75,8.026
soybean,MP,940.4,26.9,69.4,7.19,102.7,2.46,4.434
rice,MP,1067.2,31.3,59.7,6.91,152.8,7.18,9.485
rice,Maharashtra,1370.8,29.8,77.4,6.98,193.8,13.39,12.819
tomato,Telangana,1114.4,26.6,81.7,6.38,253.4,4.12,74.286
maize,Karnataka,1189.6,30.2,73.8,6.1,178.7,7.39,12.17
maize,AP,698.4,34.4,52.6,6.41,193.4,5.65,11.071
rice,Karnataka,1291.0,29.1,37.4,6.32,149.7,7.69,9.748
wheat,Karnataka,654.6,13.6,81.3,6.84,90.8,5.34,6.693
rice,Punjab,1395.9,25.6,37.3,6.3,134.9,4.36,9.522
groundnut,Maharashtra,935.3,32.8,81.4,6.32,95.4,0.62,4.081
cotton,Telangana,772.3,27.5,55.3,6.36,133.8,14.88,4.166
rice,Telangana,1798.1,28.1,56.5,6.33,184.3,3.49,12.573
maize,MP,1459.9,30.2,54.4,6.48,214.6,9.19,14.477
tomato,MP,800.9,26.2,80.0,6.69,237.5,14.16,65.191
tomato,Maharashtra,905.1,25.2,43.6,5.98,217.7,11.95,54.335
maize,Telangana,791.4,32.3,58.6,6.34,170.1,7.0,11.485
cotton,Telangana,708.3,26.5,33.1,7.51,97.9,12.06,3.074
maize,Maharashtra,1190.0,25.0,68.7,6.63,189.9,7.64,12.58
wheat,Punjab,551.1,14.0,52.1,6.8,163.3,10.9,6.752
groundnut,Maharashtra,1030.2,29.6,44.0,6.98,75.8,11.7,3.384
cotton,Maharashtra,897.7,27.7,61.2,7.53,142.9,14.38,3.764
tomato,MP,975.6,22.0,31.3,5.94,231.2,1.66,50.827
tomato,Punjab,1154.3,26.7,70.3,5.63,276.9,9.36,65.523
maize,AP,1012.0,28.2,82.2,6.45,176.5,13.58,13.358
tomato,MP,1041.1,29.3,57.2,5.65,189.8,12.77,55.8
wheat,AP,985.4,12.5,49.2,6.53,106.5,10.77,7.211
rice,AP,1466.3,23.3,65.7,6.71,137.0,11.02,11.143
wheat,Karnataka,743.0,12.7,41.4,7.41,155.5,5.4,6.053
soybean,Telangana,997.1,28.6,64.8,6.58,94.8,14.65,4.945
maize,Karnataka,1384.2,27.1,63.2,6.26,145.1,13.26,11.349
rice,Karnataka,1275.5,27.3,75.2,6.34,122.8,4.79,10.747
cotton,Punjab,761.6,36.0,60.1,6.38,89.1,10.78,4.224
maize,Punjab,1005.2,28.0,62.0,6.77,199.1,11.82,12.341
groundnut,Maharashtra,1113.4,28.9,61.8,5.52,78.0,5.95,3.177
wheat,Punjab,1103.3,22.2,33.9,7.0,113.9,8.91,6.535
groundnut,Telangana,1035.0,32.0,51.8,5.69,91.6,3.12,3.385
cotton,Punjab,609.9,29.7,46.3,6.03,87.7,1.29,3.189
groundnut,Telangana,536.8,25.8,65.3,5.96,113.8,11.67,3.359
groundnut,MP,1083.9,25.1,50.6,5.82,97.0,14.77,3.665
maize,AP,773.3,33.9,85.0,6.23,186.2,4.31,12.532
groundnut,Karnataka,987.5,27.1,51.2,5.72,87.4,10.86,3.3
wheat,AP,658.6,14.8,38.1,6.67,142.6,3.24,6.525
maize,Karnataka,756.3,25.7,48.8,6.85,186.3,10.41,10.663
rice,MP,1910.9,33.8,55.6,6.27,136.0,10.5,11.735
groundnut,Telangana,644.9,36.9,78.4,6.72,118.7,4.56,3.961
tomato,Maharashtra,485.1,19.0,57.7,5.5,214.9,9.75,40.996
maize,Karnataka,669.3,32.5,41.5,6.49,178.4,1.57,10.82
cotton,AP,1455.5,39.7,39.9,7.09,156.0,0.87,4.529
rice,MP,1505.0,22.8,46.8,6.94,114.2,12.43,9.196
tomato,AP,823.5,22.7,81.7,5.98,241.6,10.24,60.864
tomato,AP,768.5,28.7,82.2,5.64,298.3,1.63,63.507
cotton,Maharashtra,976.5,31.6,31.9,7.27,142.0,9.1,3.855
cotton,Punjab,911.4,30.2,35.9,6.94,106.7,2.61,3.687
cotton,Telangana,1451.6,36.0,75.5,7.27,131.6,2.05,4.844
groundnut,AP,988.0,32.6,68.0,6.75,64.3,8.24,3.386
rice,AP,1869.2,28.5,35.6,6.74,140.2,1.39,10.519
soybean,Punjab,942.1,24.0,32.8,7.08,132.0,3.71,4.368
rice,Maharashtra,960.7,34.3,52.4,6.71,118.1,5.66,8.075
tomato,AP,756.8,20.7,38.4,6.59,256.2,13.76,59.867
groundnut,AP,843.2,29.7,43.4,6.74,61.4,2.71,3.169
rice,Karnataka,1095.5,33.7,77.3,5.66,198.3,10.47,10.477
soybean,Punjab,997.9,20.9,51.3,6.58,131.9,5.29,5.155
groundnut,MP,663.5,37.9,67.9,6.93,110.6,4.78,3.461
tomato,Maharashtra,1134.6,25.2,40.6,6.7,268.8,10.18,66.02
wheat,Punjab,806.3,12.4,84.3,6.62,163.3,5.11,8.963
maize,MP,978.6,30.5,79.6,6.91,157.3,13.8,12.619
cotton,AP,843.4,31.0,63.0,7.74,108.7,2.21,3.438
rice,Punjab,1271.2,29.5,65.7,6.27,168.6,6.65,10.982
maize,AP,1448.1,21.0,58.0,6.41,152.9,0.85,12.813
tomato,Maharashtra,760.5,21.4,76.0,5.95,207.5,14.52,54.737
groundnut,Maharashtra,775.3,36.0,42.7,6.14,93.1,11.28,3.434
rice,Karnataka,1407.6,30.7,83.1,6.87,150.2,14.15,11.67
groundnut,AP,850.0,26.8,53.2,5.83,98.9,2.63,3.273
cotton,Punjab,666.2,34.4,58.5,7.59,90.6,11.8,3.155
groundnut,Karnataka,1176.3,35.7,36.9,5.81,71.2,2.51,3.131
groundnut,Karnataka,1022.4,32.9,47.1,6.53,61.1,9.75,3.746
groundnut,Punjab,820.2,31.7,49.2,6.75,99.6,10.22,3.591
maize,Karnataka,1147.4,25.1,84.2,6.74,177.5,4.09,13.111
groundnut,Telangana,548.9,33.3,69.9,6.91,60.1,10.03,2.916
soybean,MP,1279.9,23.2,44.9,6.72,137.6,3.19,5.636
cotton,AP,1083.8,39.9,50.1,6.8,129.2,6.2,4.422
maize,AP,1268.4,21.3,31.1,6.05,170.2,4.17,10.401
tomato,AP,430.5,23.9,81.4,6.57,280.3,5.25,62.402
rice,MP,1965.8,28.1,46.8,5.96,142.9,4.22,10.976
tomato,Punjab,412.6,21.1,34.6,6.49,154.8,4.75,42.458
rice,Maharashtra,1402.1,25.6,77.5,6.47,172.2,7.39,12.779
soybean,Maharashtra,1482.0,30.6,50.0,6.86,107.9,0.68,5.479
tomato,AP,1133.1,18.6,49.7,5.73,268.4,2.22,58.252
cotton,AP,967.9,37.4,74.8,7.36,143.2,1.73,4.618
groundnut,MP,1108.5,31.3,52.0,6.0,69.3,5.81,3.469
rice,MP,1767.2,31.0,40.9,5.51,142.8,13.71,9.282
wheat,Telangana,610.7,13.1,33.2,6.9,88.9,5.9,5.134
rice,AP,1489.5,32.7,41.9,6.34,196.4,10.85,10.982
soybean,Karnataka,780.3,31.9,73.7,7.2,132.4,14.55,4.528
tomato,Telangana,576.2,28.3,56.0,6.61,212.1,6.46,53.372
cotton,AP,1419.2,34.5,31.0,7.16,109.6,2.35,4.106
cotton,MP,1006.3,39.1,31.6,6.25,97.0,6.79,3.818
rice,Karnataka,1564.3,25.0,67.8,6.37,164.7,11.76,12.139
maize,Punjab,1067.8,34.7,51.2,6.88,215.3,11.91,11.411
tomato,MP,1150.9,18.6,45.9,5.52,249.2,4.18,55.718
tomato,Punjab,615.8,24.1,67.0,6.16,226.9,6.11,54.371
maize,Maharashtra,1241.8,31.4,62.3,6.6,143.4,8.78,11.587
groundnut,AP,885.0,31.4,36.0,6.35,102.9,11.37,3.451
maize,AP,985.3,32.5,49.5,6.94,183.4,9.25,10.332
maize,MP,1409.8,33.1,46.1,6.47,152.5,0.98,11.82
groundnut,Telangana,829.8,35.6,79.4,5.69,111.5,14.23,3.825
tomato,Karnataka,573.7,22.5,63.4,6.0,176.4,7.41,50.275
rice,Maharashtra,1644.2,29.8,64.4,6.23,103.2,6.54,10.871
groundnut,Karnataka,570.6,28.4,80.0,5.77,61.7,0.62,2.932
rice,Karnataka,1871.4,30.5,84.2,6.51,100.5,13.23,12.685
tomato,Telangana,1167.5,20.5,77.7,5.97,265.5,8.03,72.346
cotton,Maharashtra,704.9,30.5,79.1,6.05,131.4,13.33,4.049
cotton,Karnataka,1019.2,32.7,40.3,6.27,107.3,12.41,4.034
wheat,Punjab,497.2,19.1,43.4,7.05,125.3,13.22,6.039
maize,AP,1399.9,32.3,34.8,6.99,139.2,5.39,10.211
wheat,Maharashtra,862.6,13.9,49.1,7.36,82.1,10.93,5.317
soybean,MP,974.5,20.2,35.9,6.93,84.4,9.93,3.809
maize,Telangana,1478.6,34.5,46.6,6.3,146.5,4.4,11.092
wheat,Punjab,885.5,17.3,56.5,6.61,101.1,5.45,7.668
wheat,Telangana,770.0,18.3,64.4,6.43,82.4,4.16,6.923
rice,AP,1696.4,33.9,84.5,6.94,101.1,10.4,10.773
wheat,Telangana,752.1,11.8,75.5,6.73,142.5,10.34,8.318
soybean,AP,859.2,31.0,33.9,7.3,105.9,13.46,3.8
soybean,Karnataka,852.2,20.6,42.6,7.19,109.2,3.86,4.266
rice,Telangana,1800.7,29.2,51.5,6.42,147.4,13.77,11.887
rice,AP,1397.8,27.9,58.2,6.28,114.0,4.02,9.722
soybean,Maharashtra,658.4,29.2,70.0,6.64,123.9,10.35,4.39
soybean,MP,1176.0,25.9,39.4,7.27,141.2,2.48,4.546
wheat,Karnataka,641.0,10.3,81.1,7.33,102.7,10.9,5.995
cotton,AP,1069.1,27.6,38.8,6.61,105.7,3.48,4.267
cotton,Karnataka,1166.4,39.6,61.4,6.66,89.5,13.64,4.463
tomato,Punjab,833.5,19.1,83.1,6.52,258.8,4.28,72.709
groundnut,Karnataka,881.9,34.2,44.4,6.69,71.6,7.93,3.427
cotton,Maharashtra,1319.6,33.7,75.7,7.55,106.6,4.48,4.225
maize,AP,714.0,27.1,83.2,6.18,146.7,2.82,10.837
wheat,MP,801.1,23.1,67.4,6.13,148.2,10.2,7.644
rice,Maharashtra,1787.7,22.5,47.1,6.21,139.8,7.04,10.595
tomato,AP,470.9,29.1,75.7,6.22,243.6,5.73,53.313
maize,AP,1497.0,26.8,84.5,6.7,186.7,10.84,14.581
soybean,MP,1394.8,26.9,73.0,6.53,137.5,8.39,6.457
maize,MP,751.0,31.1,50.2,6.77,147.9,1.63,9.109
wheat,Telangana,1130.2,12.9,53.5,6.58,174.0,8.54,9.293
tomato,Telangana,552.6,24.6,31.6,5.88,293.3,3.4,49.367
rice,Punjab,1847.0,31.3,68.2,6.37,108.9,2.91,11.175
soybean,Telangana,825.1,25.0,37.0,6.53,140.1,8.7,4.822
rice,AP,1848.2,25.0,59.2,5.51,149.2,3.42,10.278
maize,Maharashtra,1265.2,27.1,65.9,6.18,182.3,11.66,12.78
groundnut,Maharashtra,1170.4,36.3,75.0,5.5,82.8,5.81,3.442
groundnut,Punjab,587.2,37.6,37.2,6.33,71.0,9.08,2.803
maize,AP,1295.5,20.7,53.9,6.83,185.8,5.52,12.095
soybean,Maharashtra,1342.7,21.7,43.5,6.46,119.8,7.71,5.35
maize,Punjab,1347.5,25.0,64.4,6.28,162.3,4.66,13.023
groundnut,Punjab,926.1,30.2,75.0,6.47,83.7,8.73,4.027
tomato,Karnataka,457.9,21.5,51.1,5.79,233.1,2.78,48.795
maize,Maharashtra,1036.3,24.1,41.3,6.38,194.6,4.75,11.761
soybean,AP,938.7,23.6,66.9,7.33,150.0,14.85,4.706
groundnut,MP,1013.4,30.1,75.3,6.15,68.6,14.0,3.509
groundnut,Maharashtra,678.8,33.0,30.1,6.92,62.9,9.2,2.922
cotton,Karnataka,1392.5,29.9,38.0,6.58,101.6,8.93,4.454
tomato,MP,416.4,18.2,81.8,6.28,254.4,3.1,55.654
soybean,Maharashtra,1071.6,26.9,37.3,7.28,136.4,10.85,4.097
maize,Maharashtra,987.2,25.3,72.3,6.1,189.5,4.05,11.633
groundnut,Telangana,1094.1,25.1,47.7,6.91,97.7,4.07,3.713
soybean,AP,1075.8,27.1,32.0,6.45,82.5,0.88,4.192
rice,Telangana,1181.6,32.4,58.2,6.15,145.3,10.84,9.631
wheat,Telangana,661.6,16.6,64.1,6.97,129.4,8.39,6.654
maize,Karnataka,1205.9,28.0,53.8,6.61,207.4,6.49,13.045
maize,Maharashtra,1392.1,20.5,82.4,6.7,195.9,1.28,14.905
groundnut,Punjab,735.1,25.0,75.1,6.94,95.5,12.47,3.424
soybean,Karnataka,1378.9,23.6,52.1,6.24,110.5,8.85,5.081
cotton,Maharashtra,1275.0,32.6,47.0,6.21,148.7,14.58,4.784
tomato,Telangana,964.1,28.2,62.5,6.15,289.3,9.64,68.0
groundnut,Maharashtra,707.8,29.6,83.7,6.86,114.1,13.58,3.931
rice,Punjab,1989.0,28.1,47.7,6.33,153.0,1.59,12.23
groundnut,Maharashtra,1061.9,26.8,52.5,6.67,97.6,4.18,3.939
maize,MP,1109.6,21.4,41.5,6.37,139.4,10.09,10.549
tomato,AP,723.0,20.5,71.2,6.47,280.7,13.1,70.615
cotton,Telangana,913.4,30.8,78.1,7.02,154.3,2.45,4.79
rice,Maharashtra,1229.2,25.8,82.9,6.42,190.3,9.98,12.635
maize,AP,1079.1,29.3,67.5,6.29,150.4,12.79,11.968
rice,Telangana,1918.5,31.3,53.1,6.65,116.8,7.53,11.476
groundnut,AP,981.3,31.1,51.6,6.19,119.0,5.75,3.57
wheat,Telangana,855.3,15.7,59.6,7.4,123.2,6.97,6.077
wheat,Telangana,1105.6,16.7,30.2,6.88,93.9,4.06,7.122
rice,MP,919.0,33.8,40.0,5.82,120.5,0.7,7.707
maize,Punjab,688.2,24.3,43.6,6.37,215.4,11.11,10.722
rice,MP,1265.2,24.9,84.6,6.77,130.9,1.06,10.843
soybean,Karnataka,1328.5,31.6,50.4,6.72,130.9,3.17,5.409
wheat,Maharashtra,532.6,24.7,64.5,6.14,138.9,8.3,6.625
soybean,Maharashtra,1274.8,21.6,49.4,7.35,97.0,14.28,4.499
maize,AP,1178.8,23.5,68.2,6.41,208.8,6.22,13.157
soybean,Telangana,1170.6,24.4,63.6,7.28,133.0,5.78,4.59
cotton,Karnataka,1298.5,32.3,39.1,6.45,95.6,11.77,4.377
tomato,Maharashtra,414.8,28.0,44.4,5.76,227.3,10.98,41.475
wheat,AP,979.7,14.3,45.6,7.13,83.1,7.73,5.786
maize,Telangana,1087.6,25.3,56.0,6.38,179.7,10.63,12.161
tomato,Punjab,1111.0,21.2,39.0,6.5,271.0,6.92,62.28
tomato,Maharashtra,654.0,22.3,42.8,6.5,244.9,13.51,55.804
wheat,MP,807.3,16.5,66.9,6.57,150.7,3.34,7.691
maize,MP,1199.2,29.7,82.1,6.29,172.6,9.13,13.422
soybean,AP,657.5,22.0,72.7,6.45,117.8,5.16,4.608
tomato,MP,1159.1,25.6,69.7,5.73,258.3,10.16,63.788
maize,AP,908.0,21.6,57.9,6.78,185.5,5.47,11.584
rice,MP,1277.9,32.0,73.9,5.56,140.2,8.08,9.601
tomato,MP,477.7,19.6,83.9,6.52,251.3,10.82,64.07
cotton,Karnataka,852.5,33.4,74.8,7.42,90.8,9.29,3.692
wheat,Telangana,492.8,20.1,40.8,6.65,161.7,3.47,6.935
wheat,AP,981.6,25.0,70.7,7.49,154.4,4.09,7.587
tomato,Punjab,724.1,29.5,60.6,5.62,215.4,6.37,51.087
cotton,Maharashtra,1180.4,28.5,39.6,7.46,100.6,10.51,3.403
cotton,MP,1033.4,33.0,37.3,6.61,119.6,14.36,4.285
wheat,Punjab,925.0,19.1,52.8,6.62,127.4,12.71,7.823
cotton,Maharashtra,990.2,37.1,64.1,6.59,100.3,8.27,4.282
wheat,MP,942.8,10.2,35.9,6.72,121.4,13.89,7.35
rice,MP,1076.1,25.3,62.2,5.55,129.7,6.6,8.799
maize,Karnataka,1122.3,29.9,48.7,6.17,152.0,10.36,10.715
wheat,Maharashtra,1143.3,13.3,72.4,7.5,97.2,3.74,6.682
wheat,AP,845.7,22.8,56.7,6.47,132.4,5.63,8.002
groundnut,MP,616.1,26.9,40.7,6.37,99.4,6.17,3.428
wheat,MP,1107.1,14.8,71.7,7.06,105.3,8.64,7.687
maize,Karnataka,900.2,30.3,61.4,6.89,133.1,4.18,9.542
rice,Telangana,1802.8,31.8,79.0,6.63,151.8,9.03,13.401
rice,Punjab,1455.8,28.6,37.7,5.83,154.5,13.11,9.41
groundnut,AP,776.7,31.1,40.6,6.79,91.3,13.43,3.196
tomato,AP,440.4,26.0,31.9,5.61,255.9,12.72,41.58
soybean,Maharashtra,1040.4,22.3,34.7,6.02,109.3,1.87,4.291
groundnut,MP,941.3,31.9,78.8,5.6,118.1,4.26,3.451
tomato,Telangana,1018.2,20.0,59.7,6.65,262.4,13.05,66.353
soybean,AP,911.7,27.2,69.5,7.41,91.7,11.45,4.277
cotton,Telangana,840.9,38.7,46.5,6.74,83.6,8.2,3.274
maize,Maharashtra,773.8,22.0,48.1,6.78,219.6,6.03,11.424
maize,Karnataka,1404.9,28.4,82.4,6.34,184.7,12.02,14.679
tomato,MP,665.8,23.6,75.4,5.97,255.0,11.1,59.987
rice,MP,1182.4,27.3,79.4,6.45,102.4,8.03,10.471
cotton,AP,1374.7,39.3,74.9,6.85,93.8,6.35,5.015
cotton,Karnataka,1400.0,34.6,58.0,7.29,152.2,6.45,4.535
wheat,Maharashtra,659.2,20.2,47.0,6.84,96.2,13.55,6.252
tomato,Telangana,775.4,22.2,31.2,6.79,278.1,9.34,54.355
maize,AP,739.6,29.3,32.6,6.01,195.7,14.41,9.413
groundnut,Punjab,508.3,31.5,42.4,6.03,94.8,1.44,2.796
soybean,AP,1359.0,28.6,81.7,7.42,128.5,8.54,5.552
tomato,Telangana,424.6,26.7,62.1,6.86,269.3,10.23,55.29
cotton,MP,1427.0,35.3,49.3,7.49,146.8,1.41,4.194
soybean,Punjab,1265.6,29.4,64.2,6.45,115.9,12.38,5.796
rice,MP,1985.6,22.1,36.6,6.16,125.6,13.72,10.431
rice,Telangana,863.0,27.6,53.5,6.9,128.6,1.98,8.785
soybean,MP,1226.9,23.3,30.6,6.45,138.9,9.73,4.823
rice,Karnataka,1553.3,24.4,78.2,6.27,152.9,7.21,11.891
cotton,MP,807.9,38.1,40.3,6.34,114.1,11.71,3.448
groundnut,MP,1096.5,32.2,79.6,6.58,113.8,5.26,4.474
groundnut,Karnataka,517.4,29.9,45.0,6.84,76.5,4.89,2.724
soybean,Punjab,1405.4,28.1,44.5,6.31,145.3,2.67,6.125
wheat,Punjab,931.5,13.7,32.4,7.3,123.6,4.05,6.127
groundnut,Karnataka,1115.8,27.6,54.2,6.92,80.5,10.75,3.511
groundnut,Karnataka,722.6,32.2,30.6,6.6,62.5,7.14,3.0
rice,AP,1319.4,24.6,31.3,6.32,111.6,1.24,8.498
wheat,Telangana,513.8,20.6,58.0,6.1,90.8,7.24,6.031
soybean,Karnataka,1175.9,29.3,67.6,7.29,80.9,0.78,4.819
wheat,AP,908.5,12.2,75.5,7.15,86.8,4.3,6.801
rice,Telangana,1403.5,28.0,70.9,5.74,159.0,13.79,10.649
wheat,Punjab,706.5,23.1,82.0,6.54,175.2,2.6,8.87
rice,AP,805.2,25.6,37.3,6.4,179.9,2.1,9.003
soybean,MP,633.5,24.3,71.4,6.03,93.5,14.09,4.265
rice,Karnataka,966.9,24.8,53.9,6.37,106.5,2.46,8.396
maize,Telangana,690.8,33.2,51.1,6.65,206.8,5.04,10.616
wheat,Karnataka,679.8,14.7,83.9,6.9,123.6,5.67,7.279
tomato,Punjab,649.3,29.9,37.0,6.17,245.1,11.13,51.188
rice,AP,1801.8,22.7,56.9,6.77,163.0,13.4,11.493
rice,Punjab,1156.3,32.3,67.2,5.65,182.3,1.77,10.216
cotton,AP,861.8,29.0,54.5,7.53,100.5,10.57,3.777
tomato,Telangana,871.5,26.2,48.1,6.05,217.3,12.22,56.226
soybean,AP,899.1,30.8,46.5,6.15,88.2,14.42,4.303
rice,MP,1465.0,31.2,51.6,6.13,175.8,12.48,10.688
rice,Karnataka,1316.9,30.4,55.8,6.05,123.1,8.63,9.182
rice,Punjab,1468.1,26.2,81.2,6.09,127.9,10.41,11.407
groundnut,Maharashtra,541.0,27.8,68.7,7.0,86.0,3.15,2.997
tomato,Telangana,980.9,21.8,51.4,6.74,240.5,8.59,58.766
cotton,AP,909.1,31.0,81.7,7.52,118.6,4.76,4.093
wheat,Karnataka,1029.6,18.2,51.9,6.82,85.3,4.43,6.858
maize,MP,855.3,21.6,57.7,6.94,168.8,9.51,10.491
soybean,AP,1438.0,24.3,50.8,6.6,92.2,12.16,5.628
soybean,AP,1241.3,24.4,61.7,6.51,97.7,14.48,5.252
rice,Punjab,914.3,23.6,42.3,6.67,135.0,5.62,8.859
soybean,AP,1006.8,21.2,46.6,6.11,112.4,9.39,4.985
tomato,Maharashtra,497.4,28.4,76.3,6.35,256.8,7.23,61.005
tomato,AP,670.1,23.9,48.6,5.98,200.3,2.28,51.876
soybean,MP,641.8,21.3,40.3,6.52,121.6,13.38,4.34
rice,Maharashtra,1144.0,32.2,80.5,5.73,164.7,10.36,10.696
groundnut,Maharashtra,576.3,28.3,65.2,6.84,102.9,10.12,3.34
maize,Maharashtra,1178.7,27.1,46.2,6.88,153.6,13.16,10.588
maize,Maharashtra,1015.0,22.0,51.2,6.06,185.6,12.63,11.287
tomato,Maharashtra,533.7,18.4,43.1,6.08,285.5,3.49,52.043
rice,Maharashtra,1061.0,34.1,68.5,5.96,139.8,4.75,9.585
groundnut,Karnataka,820.9,28.6,62.1,6.2,87.0,4.58,3.769
soybean,Maharashtra,1229.3,20.3,72.2,7.28,128.6,12.62,5.199
soybean,Maharashtra,1397.9,20.3,67.3,6.57,116.8,4.65,5.868
rice,AP,1257.5,28.5,53.6,6.93,176.2,1.29,10.403
rice,Punjab,1830.0,35.0,73.0,6.44,179.5,5.65,13.385
cotton,Punjab,1349.8,35.3,37.9,6.04,106.9,3.88,4.049
rice,Maharashtra,1440.9,24.8,57.6,5.75,123.7,4.43,9.011
tomato,Maharashtra,771.1,18.7,65.9,6.59,199.3,4.55,60.29
wheat,Punjab,608.9,15.0,79.6,6.7,172.7,1.8,8.164
maize,Maharashtra,995.5,21.6,65.0,6.21,134.8,14.27,10.907
rice,Punjab,1627.5,27.3,34.2,5.81,140.3,10.58,9.539
tomato,Karnataka,649.1,19.5,61.5,6.8,224.0,8.76,52.254
soybean,Maharashtra,714.4,21.2,46.9,7.07,94.6,7.39,3.81
tomato,Maharashtra,966.9,25.5,46.1,6.47,257.1,5.17,60.43
cotton,Punjab,1332.6,27.5,43.4,6.01,83.4,2.16,3.951
maize,Punjab,1358.0,31.1,57.9,6.06,159.9,12.25,12.453
groundnut,Maharashtra,895.7,28.2,44.1,6.15,98.0,1.26,3.47
soybean,Punjab,619.9,20.1,42.2,6.17,96.8,14.81,3.711
tomato,AP,707.3,20.6,68.7,5.96,296.3,10.83,61.479
tomato,Punjab,1096.1,24.9,75.0,6.14,246.2,0.58,71.153
soybean,Maharashtra,1029.1,21.6,50.0,6.59,92.4,5.92,4.679
tomato,Punjab,862.4,24.3,68.6,5.74,257.3,14.52,61.418
maize,Punjab,740.5,27.7,71.6,6.48,142.2,4.99,10.361
